Date,Open,High,Low,Close,Adj Close,Volume
2011-04-28,3.79,3.99,3.58,3.68,3.287611,147469920.0
2011-04-29,3.312,3.456,3.312,3.364,3.005305,88401340.0
2011-05-03,3.258,3.33,3.15,3.23,2.885593,53375085.0
2011-05-04,3.2,3.476,3.164,3.306,2.95349,62751365.0
2011-05-05,3.218,3.276,3.124,3.208,2.865939,40248285.0
2011-05-06,3.194,3.194,3.04,3.06,2.73372,37192630.0
2011-05-09,3.07,3.17,3.042,3.082,2.753374,26419450.0
2011-05-10,3.084,3.248,3.06,3.248,2.901674,42813045.0
2011-05-11,3.234,3.234,3.156,3.162,2.824844,29909060.0
2011-05-12,3.108,3.188,3.082,3.148,2.812337,22433845.0
2011-05-13,3.142,3.3,3.112,3.24,2.894527,27424710.0
2011-05-16,3.216,3.292,3.178,3.212,2.869513,21500170.0
2011-05-17,3.22,3.366,3.18,3.26,2.912395,33049075.0
2011-05-18,3.21,3.256,3.144,3.186,2.846285,20779330.0
2011-05-19,3.206,3.25,3.154,3.154,2.817697,12453975.0
2011-05-20,3.166,3.19,3.12,3.126,2.792682,13085720.0
2011-05-23,3.128,3.13,2.952,2.956,2.640809,22074555.0
2011-05-24,2.954,2.996,2.88,2.97,2.653317,12771090.0
2011-05-25,2.96,2.96,2.82,2.832,2.530031,14520175.0
2011-05-26,2.86,2.89,2.8,2.8,2.501443,10071415.0
2011-05-27,2.806,2.818,2.72,2.72,2.429974,9113780.0
2011-05-30,2.702,2.762,2.674,2.708,2.419253,7579755.0
2011-05-31,2.7,2.778,2.696,2.764,2.469282,10292265.0
2011-06-01,2.756,2.83,2.732,2.79,2.49251,8835715.0
2011-06-02,2.76,2.76,2.676,2.702,2.413893,8778515.0
2011-06-03,2.7,2.86,2.676,2.788,2.490723,12109595.0
2011-06-07,2.776,2.83,2.746,2.82,2.519311,11182710.0
2011-06-08,,,,,,
2011-06-09,2.852,2.87,2.696,2.706,2.417466,13035745.0
2011-06-10,2.698,2.722,2.662,2.72,2.429974,7697950.0
2011-06-13,2.692,2.77,2.676,2.76,2.465708,8652870.0
2011-06-14,2.732,2.828,2.732,2.772,2.476429,9725050.0
